type	latitude	longitude	altitude (m)	name	desc
T	-12.011194248	-76.945262309	307.3		
T	-12.011262669	-76.945127915	307.6		
T	-12.011255904	-76.944929500	308.0		
T	-12.011253650	-76.944863380	308.0		
T	-12.011276793	-76.944597492	308.0		
T	-12.011333083	-76.944429073	307.9		
T	-12.011363195	-76.944263111	308.0		
T	-12.011432399	-76.944129860	308.1		
T	-12.011466008	-76.943964876	308.4		
T	-12.011600372	-76.943829492	308.8		
T	-12.011724376	-76.943561712	309.2		
T	-12.011757505	-76.943527920	309.2		
T	-12.011984698	-76.943225728	308.9		
T	-12.012184566	-76.942927099	308.4		
T	-12.012344138	-76.942596354	308.3		
T	-12.012371735	-76.942432067	308.4		
T	-12.012364041	-76.942268181	308.5		
T	-12.012426871	-76.942103808	308.6		
T	-12.012488087	-76.941906894	308.7		
T	-12.012513434	-76.941645702	309.0		
T	-12.012581338	-76.941580257	309.1		
T	-12.012708732	-76.941318302	309.4		
T	-12.012871894	-76.941089385	309.7		
T	-12.013045718	-76.941089155	309.7		
T	-12.013118297	-76.941154200	309.6		
T	-12.013126218	-76.941317054	309.4		
T	-12.013130971	-76.941414772	309.3		
T	-12.013143656	-76.941675380	309.0		
T	-12.013043986	-76.941773681	308.9		
T	-12.013014079	-76.941903891	308.7		
T	-12.012915363	-76.942035013	308.6		
T	-12.012853053	-76.942198737	308.4		
T	-12.012789131	-76.942329977	308.2		
T	-12.012731274	-76.942656670	307.7		
T	-12.012668649	-76.942821134	307.4		
T	-12.012574078	-76.943051748	307.2		
T	-12.012477894	-76.943249993	307.2		
T	-12.012479647	-76.943282827	307.1		
T	-12.012451674	-76.943414818	306.9		
T	-12.012358894	-76.943646858	306.4		
T	-12.012292283	-76.943714059	306.5		
T	-12.012124698	-76.943882186	306.7		
T	-12.012025598	-76.944016228	306.7		
T	-12.011892615	-76.944184274	306.9		
T	-12.011825104	-76.944251921	307.2		
T	-12.011729027	-76.944452620	307.4		
T	-12.011598038	-76.944654677	307.5		
T	-12.011569824	-76.944787958	307.4		
T	-12.011541597	-76.944921303	307.4		
T	-12.011516461	-76.945120839	307.0		
T	-12.011520996	-76.945252892	306.7		
T	-12.011493764	-76.945452331	306.2		
T	-12.011465146	-76.945651842	305.7		
T	-12.011469880	-76.945751147	305.5		
T	-12.011476199	-76.945883560	305.1		
T	-12.011412465	-76.946084725	304.7		
T	-12.011382145	-76.946218547	304.4		
T	-12.011356098	-76.946418831	304.0		
T	-12.011256546	-76.946588969	303.7		
T	-12.011079945	-76.946596354	303.9		
T	-12.011051514	-76.946664467	303.7		
