type	latitude	longitude	altitude (m)	name	desc
T	-12.013960743	-76.957769705	388.6		
T	-12.013940592	-76.957931204	385.1		
T	-12.013940656	-76.958097071	381.4		
T	-12.013927068	-76.958271289	377.3		
T	-12.013737034	-76.958389438	368.3		
T	-12.013664689	-76.958484261	361.7		
T	-12.013617351	-76.958716814	348.8		
T	-12.013559327	-76.958956795	335.3		
T	-12.013511728	-76.959191096	322.8		
T	-12.013536692	-76.959328415	319.5		
T	-12.013522112	-76.959474809	315.0		
T	-12.013505833	-76.959622165	310.6		
T	-12.013533452	-76.959895030	303.2		
T	-12.013572583	-76.960023223	300.2		
T	-12.013576364	-76.960225258	298.5		
T	-12.013582163	-76.960460384	296.4		
T	-12.013590676	-76.960659275	294.6		
T	-12.013597607	-76.960859092	293.0		
T	-12.013609518	-76.961089608	292.6		
T	-12.013651829	-76.961249811	292.2		
T	-12.013691364	-76.961377820	291.8		
T	-12.013701345	-76.961575621	291.4		
T	-12.013710410	-76.961774055	290.5		
T	-12.013716343	-76.961940826	289.3		
T	-12.013718562	-76.962007729	288.8		
T	-12.013695023	-76.962244325	287.2		
T	-12.013675310	-76.962580833	285.6		
T	-12.013682961	-76.962746393	285.9		
T	-12.013689950	-76.962877835	286.2		
T	-12.013628850	-76.963088676	286.7		
T	-12.013635165	-76.963220952	287.0		
T	-12.013472390	-76.963446134	287.8		
T	-12.013412743	-76.963655808	288.2		
T	-12.013351761	-76.963832206	288.6		
T	-12.013294000	-76.964075075	289.0		
T	-12.013229678	-76.964185525	289.3		
T	-12.013170171	-76.964395633	288.9		
T	-12.013179928	-76.964594747	288.3		
T	-12.013254311	-76.964682852	287.9		
T	-12.013430746	-76.964755539	287.2		
T	-12.013570100	-76.964766004	286.6		
T	-12.013670784	-76.964682794	286.4		
T	-12.013802598	-76.964527390	286.5		
T	-12.013797714	-76.964428250	286.9		
T	-12.013784598	-76.964198347	287.8		
T	-12.013775981	-76.963999209	287.7		
T	-12.013770476	-76.963866092	287.6		
T	-12.013762760	-76.963700476	287.4		
T	-12.013821945	-76.963491492	287.0		
T	-12.013883919	-76.963349001	286.7		
T	-12.013944164	-76.963173703	286.4		
T	-12.014008074	-76.963064075	286.2		
T	-12.014003438	-76.962964973	286.1		
T	-12.013998843	-76.962865830	286.1		
T	-12.013988657	-76.962634031	285.9		
T	-12.013980108	-76.962435232	286.1		
T	-12.013975844	-76.962335799	286.6		
T	-12.013970963	-76.962237033	287.1		
T	-12.013960794	-76.962005253	288.3		
T	-12.013952113	-76.961806770	289.3		
T	-12.013943696	-76.961608050	290.2		
T	-12.013938153	-76.961475558	290.5		
T	-12.013995878	-76.961235133	290.7		
T	-12.014021511	-76.961031881	291.1		
T	-12.014015625	-76.960899837	291.4		
T	-12.014043788	-76.960763218	292.4		
T	-12.014036432	-76.960598245	294.8		
T	-12.014064580	-76.960461759	296.7		
T	-12.014061804	-76.960259382	299.6		
T	-12.014080051	-76.960075312	302.4		
T	-12.014001564	-76.959901378	306.9		
T	-12.013937291	-76.959771924	311.3		
T	-12.013908477	-76.959603048	317.2		
T	-12.013889349	-76.959461483	322.2		
T	-12.013920696	-76.959304249	328.6		
T	-12.013962278	-76.959073608	339.5		
T	-12.014014097	-76.958837613	352.7		
T	-12.014058856	-76.958673900	362.1		
T	-12.014095503	-76.958516477	371.0		
T	-12.014114546	-76.958337818	380.5		
T	-12.014163940	-76.958208517	383.4		
T	-12.014241454	-76.958044971	384.2		
T	-12.014295843	-76.957912061	384.6		
T	-12.014381599	-76.957776633	384.4		
T	-12.014460739	-76.957645354	384.0		
T	-12.014456712	-76.957614751	384.3		
T	-12.014511124	-76.957481927	384.3		
T	-12.014608108	-76.957240515	384.1		
T	-12.014597470	-76.957048501	386.1		
T	-12.014548642	-76.956913561	389.0		
T	-12.014507071	-76.956774909	392.0		
T	-12.014496150	-76.956634364	393.2		
T	-12.014518480	-76.956425033	390.0		
T	-12.014474098	-76.956238327	390.1		
T	-12.014440696	-76.956091948	390.3		
T	-12.014386136	-76.955975222	392.1		
T	-12.014350337	-76.955796353	392.8		
T	-12.014311877	-76.955585285	394.5		
T	-12.014320242	-76.955462395	393.9		
T	-12.014372248	-76.955363984	391.9		
T	-12.014462709	-76.955095395	389.9		
T	-12.014577632	-76.954837390	392.5		
T	-12.014678342	-76.954652483	395.3		
T	-12.014703219	-76.954478954	399.3		
T	-12.014696512	-76.954351844	402.8		
T	-12.014669901	-76.954103133	408.2		
T	-12.014652485	-76.953915355	408.3		
T	-12.014653078	-76.953817809	408.1		
T	-12.014643530	-76.953626771	408.1		
T	-12.014631909	-76.953436597	408.1		
T	-12.014624164	-76.953309796	407.2		
T	-12.014599671	-76.953156421	401.7		
T	-12.014572035	-76.953003683	396.2		
T	-12.014538297	-76.952820313	389.6		
T	-12.014508304	-76.952667644	384.0		
T	-12.014482370	-76.952545656	379.6		
T	-12.014464215	-76.952453723	374.7		
T	-12.014441301	-76.952363072	368.4		
T	-12.014425402	-76.952179072	354.8		
T	-12.014380562	-76.952028606	343.9		
T	-12.014364951	-76.951875727	332.2		
T	-12.014311050	-76.951726003	320.7		
T	-12.014289546	-76.951540308	313.5		
T	-12.014235199	-76.951257288	307.9		
T	-12.014211709	-76.951097776	304.9		
T	-12.014204788	-76.950967706	302.4		
T	-12.014216537	-76.950739785	299.6		
T	-12.014208652	-76.950675544	299.6		
T	-12.014276918	-76.950444488	298.9		
T	-12.014272683	-76.950346619	298.9		
T	-12.014335667	-76.950211447	298.4		
T	-12.014498465	-76.950004392	297.4		
T	-12.014556385	-76.949739456	297.3		
T	-12.014547856	-76.949544387	297.4		
T	-12.014607863	-76.949377684	297.3		
T	-12.014630841	-76.949148295	297.4		
T	-12.014621362	-76.948953519	297.3		
T	-12.014613719	-76.948791197	297.3		
T	-12.014539772	-76.948665231	297.2		
T	-12.014496511	-76.948439683	297.1		
T	-12.014491822	-76.948342348	297.0		
T	-12.014483778	-76.948179935	297.2		
T	-12.014477381	-76.948050211	297.4		
T	-12.014469649	-76.947887915	297.7		
T	-12.014492454	-76.947658833	298.0		
T	-12.014586237	-76.947491638	298.0		
T	-12.014645851	-76.947326301	298.4		
T	-12.014672798	-76.947195219	298.8		
T	-12.014700499	-76.947064090	299.2		
T	-12.014795788	-76.946930013	299.7		
T	-12.014853776	-76.946732913	300.5		
T	-12.014948815	-76.946599247	300.9		
T	-12.015008394	-76.946434891	300.7		
T	-12.015069517	-76.946302985	300.4		
T	-12.015063144	-76.946173871	300.3		
T	-12.015056799	-76.946044767	300.1		
T	-12.015082567	-76.945882141	299.9		
T	-12.015111493	-76.945784115	299.8		
T	-12.015137231	-76.945621652	299.8		
T	-12.015230548	-76.945457086	299.4		
T	-12.015328886	-76.945357308	298.9		
T	-12.015390163	-76.945226447	298.4		
T	-12.015416145	-76.945064604	298.1		
T	-12.015443448	-76.944934972	298.1		
T	-12.015502686	-76.944772303	298.3		
T	-12.015528378	-76.944610747	298.8		
T	-12.015520568	-76.944450182	299.6		
T	-12.015512758	-76.944289633	300.3		
T	-12.015503377	-76.944097023	300.9		
T	-12.015529406	-76.943904069	301.0		
T	-12.015521846	-76.943743687	301.2		
T	-12.015617912	-76.943645431	301.3		
T	-12.015649898	-76.943612713	301.3		
T	-12.015768582	-76.943290005	302.0		
T	-12.015794419	-76.943129471	302.2		
T	-12.015788354	-76.943001529	302.4		
T	-12.015708851	-76.942746416	302.7		
T	-12.015629858	-76.942491309	303.1		
T	-12.015555556	-76.942332086	304.5		
T	-12.015546867	-76.942140147	306.2		
T	-12.015542524	-76.942044193	307.0		
T	-12.015536735	-76.941916269	308.1		
T	-12.015528051	-76.941724415	309.8		
T	-12.015519369	-76.941532601	310.2		
T	-12.015509242	-76.941308864	310.1		
T	-12.015569055	-76.941149004	310.1		
T	-12.015692811	-76.940925531	310.1		
T	-12.015688469	-76.940829845	310.0		
T	-12.015777121	-76.940575035	310.3		
T	-12.015832209	-76.940320479	310.6		
T	-12.015890301	-76.940161051	310.7		
T	-12.015950588	-76.940034023	310.7		
T	-12.015975031	-76.939843455	310.7		
T	-12.016066411	-76.939684939	310.5		
T	-12.016095042	-76.939589896	310.5		
T	-12.016088324	-76.939431451	310.6		
T	-12.016136130	-76.939020033	311.1		
T	-12.016093584	-76.938797977	311.7		
T	-12.016020742	-76.938669594	312.1		
T	-12.016116959	-76.938607665	312.2		
T	-12.016150085	-76.938608241	312.2		
T	-12.016255958	-76.938798750	311.6		
T	-12.016260579	-76.938893948	311.3		
T	-12.016270537	-76.939115633	310.6		
T	-12.016281193	-76.939337750	310.4		
T	-12.016288095	-76.939465155	310.3		
T	-12.016297786	-76.939655859	310.1		
T	-12.016270943	-76.939782641	310.1		
T	-12.016213060	-76.939972253	310.1		
T	-12.016217998	-76.940067762	310.0		
T	-12.016158240	-76.940194717	309.9		
T	-12.016069177	-76.940416795	309.8		
T	-12.016075298	-76.940544097	309.6		
T	-12.016050141	-76.940734515	309.4		
T	-12.016022789	-76.940861761	309.4		
T	-12.015992565	-76.940925452	309.5		
T	-12.015998269	-76.941052729	309.7		
T	-12.015976591	-76.941307497	310.1		
T	-12.015950610	-76.941466903	310.3		
T	-12.015953465	-76.941530607	310.4		
T	-12.015827806	-76.941690844	310.8		
T	-12.015801651	-76.941850570	309.2		
T	-12.015807449	-76.941978230	308.0		
T	-12.015814695	-76.942137828	306.5		
T	-12.015819036	-76.942233588	305.5		
T	-12.015892558	-76.942392298	304.1		
T	-12.015973796	-76.942710693	302.9		
T	-12.016081067	-76.942868862	302.9		
T	-12.016185755	-76.942963213	302.9		
T	-12.016192091	-76.943090827	302.7		
T	-12.016198066	-76.943218404	302.6		
T	-12.016209163	-76.943441807	302.1		
T	-12.016179163	-76.943506302	301.9		
T	-12.016089911	-76.943731770	301.2		
T	-12.016031208	-76.943924619	300.6		
T	-12.015971888	-76.944117606	300.1		
T	-12.015981278	-76.944309577	299.2		
T	-12.015889583	-76.944472352	298.2		
T	-12.015862505	-76.944601393	297.4		
T	-12.015833852	-76.944698461	296.8		
T	-12.015774930	-76.944860691	296.2		
T	-12.015750917	-76.945054134	295.8		
T	-12.015691904	-76.945216691	296.6		
T	-12.015663157	-76.945314085	297.0		
T	-12.015671117	-76.945474627	297.4		
T	-12.015580837	-76.945702910	298.3		
T	-12.015488844	-76.945899427	298.9		
T	-12.015495322	-76.946028104	299.0		
T	-12.015434513	-76.946159420	299.3		
T	-12.015444299	-76.946352575	299.6		
T	-12.015450822	-76.946481353	299.7		
T	-12.015457344	-76.946610137	299.8		
T	-12.015394743	-76.946709622	299.9		
T	-12.015402349	-76.946870672	299.3		
T	-12.015276656	-76.947070120	298.7		
T	-12.015215115	-76.947202267	298.2		
T	-12.015154886	-76.947366854	297.6		
T	-12.015125724	-76.947465398	297.2		
T	-12.015103277	-76.947693195	297.0		
T	-12.015109532	-76.947822460	296.9		
T	-12.015115788	-76.947951719	296.9		
T	-12.015089908	-76.948115116	296.9		
T	-12.015061111	-76.948213902	296.9		
T	-12.015030920	-76.948280389	297.0		
T	-12.015011162	-76.948540981	297.0		
T	-12.014982852	-76.948672376	297.0		
T	-12.014988654	-76.948801884	297.0		
T	-12.014926914	-76.948935417	297.1		
T	-12.014934807	-76.949097370	297.1		
T	-12.014941124	-76.949226944	296.9		
T	-12.014955333	-76.949518520	296.3		
T	-12.014860991	-76.949687147	296.2		
T	-12.014799998	-76.949853905	296.2		
T	-12.014670717	-76.950025452	296.6		
T	-12.014542562	-76.950229927	297.3		
T	-12.014515427	-76.950395092	297.6		
T	-12.014522499	-76.950557936	297.7		
T	-12.014543961	-76.950717988	297.7		
T	-12.014555632	-76.950814140	297.7		
T	-12.014508776	-76.951011487	301.8		
T	-12.014521904	-76.951140121	304.5		
T	-12.014476401	-76.951271555	307.5		
T	-12.014506574	-76.951428621	310.8		
T	-12.014511191	-76.951585685	314.2		
T	-12.014551587	-76.951706551	318.9		
T	-12.014589049	-76.951827458	327.4		
T	-12.014664376	-76.951976686	337.2		
T	-12.014759357	-76.952159104	348.1		
T	-12.014783938	-76.952314785	357.8		
T	-12.014803949	-76.952406369	363.2		
T	-12.014855515	-76.952617882	372.5		
T	-12.014886040	-76.952770519	377.6		
T	-12.014906879	-76.952893439	381.8		
T	-12.014948946	-76.953017360	385.4		
T	-12.014987229	-76.953328216	396.2		
T	-12.015016606	-76.953641690	397.1		
T	-12.015023861	-76.953768740	397.6		
T	-12.015034370	-76.953894453	398.0		
T	-12.015065643	-76.954173836	398.6		
T	-12.015100952	-76.954418365	392.0		
T	-12.015097959	-76.954517130	389.7		
T	-12.014989928	-76.954693565	387.6		
T	-12.014859258	-76.954848198	386.5		
T	-12.014779476	-76.954926338	386.1		
T	-12.014583951	-76.955120421	386.8		
T	-12.014485128	-76.955261539	388.5		
T	-12.014518236	-76.955389875	386.6		
T	-12.014562568	-76.955545910	383.6		
T	-12.014659375	-76.955753994	376.8		
T	-12.014695491	-76.955932664	375.2		
T	-12.014720294	-76.956083913	376.0		
T	-12.014740145	-76.956237480	377.3		
T	-12.014708290	-76.956455725	381.9		
T	-12.014708106	-76.956587164	383.8		
T	-12.014701405	-76.956656794	385.0		
T	-12.014667856	-76.956939600	384.6		
T	-12.014663498	-76.957206519	382.8		
T	-12.014765285	-76.957458544	378.6		
T	-12.014829055	-76.957518621	376.8		
T	-12.014840446	-76.957710275	375.5		
T	-12.014899199	-76.957822387	373.8		
T	-12.014917487	-76.957909894	373.1		
T	-12.014947392	-76.958055672	371.9		
T	-12.014859875	-76.958125793	373.1		
T	-12.014690762	-76.958247326	375.0		
T	-12.014651942	-76.958369421	373.3		
T	-12.014528254	-76.958512271	368.1		
T	-12.014471184	-76.958664821	361.5		
T	-12.014438856	-76.958819997	354.3		
T	-12.014411318	-76.958938993	348.8		
T	-12.014372142	-76.959100549	341.3		
T	-12.014319316	-76.959339336	331.2		
T	-12.014282534	-76.959534067	323.1		
T	-12.014237220	-76.959770083	313.4		
T	-12.014223314	-76.959882175	308.7		
T	-12.014265776	-76.960062285	302.3		
T	-12.014332955	-76.960155809	300.5		
T	-12.014369843	-76.960353163	297.3		
T	-12.014374608	-76.960519883	294.9		
T	-12.014380501	-76.960651564	292.9		
T	-12.014389715	-76.960848793	290.2		
T	-12.014396087	-76.960980137	289.8		
T	-12.014369974	-76.961149141	289.5		
T	-12.014309742	-76.961323084	289.3		
T	-12.014247746	-76.961464430	289.2		
T	-12.014252687	-76.961562952	288.9		
T	-12.014192630	-76.961737211	288.7		
T	-12.014062080	-76.961957193	288.2		
T	-12.014071006	-76.962155468	287.4		
T	-12.014077025	-76.962287784	286.8		
T	-12.014050039	-76.962458149	286.0		
T	-12.014055742	-76.962590620	285.9		
T	-12.014061599	-76.962722981	286.0		
T	-12.014069259	-76.962888125	286.0		
T	-12.014075387	-76.963020258	286.1		
T	-12.014084910	-76.963218158	286.2		
T	-12.014091329	-76.963350046	286.2		
T	-12.014094551	-76.963415960	286.3		
T	-12.014032758	-76.963558287	286.6		
T	-12.014011810	-76.963827164	287.0		
T	-12.013980552	-76.963898787	287.1		
T	-12.013958863	-76.964202969	287.3		
T	-12.013968138	-76.964367090	286.6		
T	-12.014045235	-76.964520637	285.7		
T	-12.014225988	-76.964690767	284.4		
T	-12.014325641	-76.964607686	284.6		
T	-12.014316452	-76.964409455	285.5		
T	-12.014308148	-76.964244949	286.3		
T	-12.014298864	-76.964046954	286.6		
T	-12.014290516	-76.963882564	286.4		
T	-12.014425831	-76.963827611	286.1		
T	-12.014523658	-76.963712310	285.8		
T	-12.014518842	-76.963613655	285.8		
T	-12.014575961	-76.963372607	285.5		
T	-12.014566460	-76.963175318	285.8		
T	-12.014558793	-76.963010687	286.1		
T	-12.014552662	-76.962878993	286.3		
T	-12.014549595	-76.962813155	286.4		
T	-12.014539860	-76.962581788	286.8		
T	-12.014499883	-76.962455076	286.9		
T	-12.014458524	-76.962295258	287.0		
T	-12.014453052	-76.962163006	287.2		
T	-12.014444218	-76.961965266	287.5		
T	-12.014539517	-76.961819352	287.5		
T	-12.014634893	-76.961673442	287.3		
T	-12.014696653	-76.961532251	287.4		
T	-12.014692009	-76.961433770	287.7		
T	-12.014717991	-76.961264996	288.0		
T	-12.014743948	-76.961096342	288.3		
T	-12.014730030	-76.960801202	289.4		
T	-12.014724228	-76.960669702	291.2		
T	-12.014713111	-76.960440446	294.2		
T	-12.014708245	-76.960342228	295.6		
T	-12.014705813	-76.960140187	298.3		
T	-12.014703643	-76.960006046	300.1		
T	-12.014722690	-76.959821756	307.4		
T	-12.014768586	-76.959584400	316.9		
T	-12.014793312	-76.959464830	321.6		
T	-12.014762964	-76.959311854	328.3		
T	-12.014799972	-76.959117150	336.2		
T	-12.014839454	-76.958889010	346.5		
T	-12.014852073	-76.958813445	349.8		
T	-12.014996015	-76.958656146	355.3		
T	-12.015157456	-76.958420334	361.5		
T	-12.015246591	-76.958283077	362.6		
T	-12.015240788	-76.958187790	363.5		
T	-12.015233051	-76.958060724	364.5		
T	-12.015213875	-76.957809132	366.7		
T	-12.015167430	-76.957575172	369.2		
T	-12.015139277	-76.957427580	370.0		
T	-12.015126349	-76.957303168	369.9		
T	-12.015116685	-76.957077701	369.6		
T	-12.015116597	-76.956912458	369.2		
T	-12.015109271	-76.956652748	368.7		
T	-12.015099277	-76.956493612	366.1		
T	-12.015087985	-76.956335215	363.5		
T	-12.015071745	-76.956179327	361.2		
T	-12.015030150	-76.956055650	360.3		
T	-12.014964608	-76.955963454	361.4		
T	-12.014919098	-76.955808730	362.1		
T	-12.014894373	-76.955623785	367.7		
T	-12.014874336	-76.955469188	372.0		
T	-12.014902123	-76.955336729	374.0		
T	-12.015032946	-76.955114200	376.1		
T	-12.015112906	-76.954892268	380.3		
T	-12.015206817	-76.954742351	382.0		
T	-12.015242862	-76.954639999	383.8		
T	-12.015279734	-76.954504920	386.4		
T	-12.015305193	-76.954310352	390.6		
T	-12.015362480	-76.954177924	392.8		
T	-12.015421022	-76.954045056	391.0		
T	-12.015437496	-76.953854372	389.1		
T	-12.015423670	-76.953730516	388.4		
T	-12.015484505	-76.953596762	386.0		
T	-12.015456460	-76.953413617	385.1		
T	-12.015454776	-76.953229388	380.8		
T	-12.015328770	-76.953029908	376.6		
T	-12.015205351	-76.952851977	372.9		
T	-12.015137036	-76.952760759	371.0		
T	-12.015063647	-76.952606304	366.7		
T	-12.015036561	-76.952452244	360.5		
T	-12.015000167	-76.952300681	352.5		
T	-12.014951231	-76.952119576	342.8		
T	-12.014962334	-76.951992784	335.2		
T	-12.014967739	-76.951867364	327.8		
T	-12.014996095	-76.951741844	320.3		
T	-12.014965319	-76.951586397	314.0		
T	-12.014935552	-76.951430249	310.2		
T	-12.014925099	-76.951367268	308.6		
T	-12.014898369	-76.951176990	304.0		
T	-12.014872224	-76.950986215	299.5		
T	-12.014927266	-76.950885700	296.7		
T	-12.014943021	-76.950723109	295.3		
T	-12.014971750	-76.950623493	295.2		
T	-12.014998637	-76.950458773	295.0		
T	-12.014989815	-76.950264135	295.1		
T	-12.015053825	-76.950162090	294.9		
T	-12.015112965	-76.949963058	294.9		
T	-12.015209605	-76.949859239	294.9		
T	-12.015302927	-76.949690936	294.8		
T	-12.015426424	-76.949488703	294.5		
T	-12.015420209	-76.949359533	294.5		
T	-12.015482602	-76.949258528	294.1		
T	-12.015473281	-76.949064898	294.4		
T	-12.015532506	-76.948899595	294.6		
T	-12.015593223	-76.948766702	294.8		
T	-12.015582784	-76.948541104	295.6		
T	-12.015574264	-76.948379924	296.2		
T	-12.015662311	-76.948116876	296.4		
T	-12.015650816	-76.947859225	296.7		
T	-12.015676980	-76.947696588	296.8		
T	-12.015703127	-76.947534056	297.0		
T	-12.015729068	-76.947371632	297.3		
T	-12.015722980	-76.947243028	297.7		
T	-12.015747360	-76.947048614	298.2		
T	-12.015738229	-76.946855806	298.7		
T	-12.015733664	-76.946759413	299.0		
T	-12.015824729	-76.946562387	298.9		
T	-12.015855441	-76.946496833	298.7		
T	-12.015915322	-76.946365766	298.4		
T	-12.016005771	-76.946169305	297.9		
T	-12.016062067	-76.945942458	297.7		
T	-12.016087561	-76.945781106	297.6		
T	-12.016111489	-76.945587841	297.1		
T	-12.016132204	-76.945330825	296.5		
T	-12.016128982	-76.945266746	296.3		
T	-12.016152975	-76.945105520	296.0		
T	-12.016239624	-76.944878291	296.6		
T	-12.016256632	-76.944494404	298.4		
T	-12.016281318	-76.944333720	299.2		
T	-12.016305239	-76.944141363	300.1		
T	-12.016333206	-76.944013183	300.5		
T	-12.016451237	-76.943660205	301.7		
T	-12.016448045	-76.943596462	301.9		
T	-12.016469910	-76.943372752	302.6		
T	-12.016494952	-76.943212871	302.9		
T	-12.016487292	-76.943053755	303.1		
T	-12.016478114	-76.942862811	303.3		
T	-12.016471417	-76.942735334	303.5		
T	-12.016459376	-76.942480818	303.9		
T	-12.016453861	-76.942322526	304.8		
T	-12.016382673	-76.942165068	305.8		
T	-12.016305846	-76.941942943	307.4		
T	-12.016231401	-76.941815244	308.5		
T	-12.016157548	-76.941656469	309.8		
T	-12.016146190	-76.941402079	309.6		
T	-12.016140479	-76.941274873	309.4		
T	-12.016136195	-76.941179480	309.3		
T	-12.016222338	-76.940893170	308.7		
T	-12.016220228	-76.940830008	308.6		
T	-12.016279022	-76.940671203	308.7		
T	-12.016371271	-76.940512891	308.7		
T	-12.016523978	-76.940228682	308.8		
T	-12.016609607	-76.939975237	309.2		
T	-12.016602765	-76.939848140	309.3		
T	-12.016593449	-76.939657996	309.6		
T	-12.016583725	-76.939467649	309.8		
T	-12.016576451	-76.939309509	310.0		
T	-12.016564405	-76.939056298	310.5		
T	-12.016558171	-76.938929582	310.9		
T	-12.016652282	-76.938836151	311.2		
T	-12.016710264	-76.938679041	311.8		
T	-12.016800846	-76.938491987	312.4		
T	-12.016950785	-76.938211053	313.0		
T	-12.016988134	-76.938306358	313.0		
T	-12.017028849	-76.938464894	312.5		
T	-12.017031400	-76.938527625	312.3		
T	-12.017038177	-76.938684743	311.7		
T	-12.016994043	-76.939125355	310.1		
T	-12.016999873	-76.939251440	309.9		
T	-12.017004242	-76.939346015	309.7		
T	-12.017012985	-76.939535192	309.4		
T	-12.017023189	-76.939755945	309.0		
T	-12.017033862	-76.939977004	308.6		
T	-12.017047207	-76.940230277	307.7		
T	-12.017021085	-76.940356745	307.4		
T	-12.016997776	-76.940546372	306.8		
T	-12.017003908	-76.940672819	306.3		
T	-12.016949139	-76.940925035	306.1		
T	-12.016951760	-76.940988106	306.2		
T	-12.016960992	-76.941208925	306.4		
T	-12.016971287	-76.941430295	306.6		
T	-12.016840104	-76.941430835	307.1		
T	-12.016735522	-76.941304455	307.3		
T	-12.016696946	-76.941177907	307.3		
T	-12.016562406	-76.941114817	307.7		
T	-12.016398841	-76.941146833	308.3		
T	-12.016372896	-76.941305599	308.6		
T	-12.016378928	-76.941432730	308.8		
T	-12.016418285	-76.941559807	308.8		
T	-12.016490042	-76.941686422	308.5		
T	-12.016594691	-76.941781529	307.7		
T	-12.016700358	-76.941908074	306.7		
T	-12.016835440	-76.942001777	305.9		
T	-12.016842355	-76.942160020	305.2		
T	-12.016849271	-76.942318299	304.6		
T	-12.016853419	-76.942413283	304.1		
T	-12.016863044	-76.942634964	303.6		
T	-12.016869629	-76.942793209	303.3		
T	-12.016878907	-76.942983630	303.0		
T	-12.016819477	-76.943111724	302.9		
T	-12.016764902	-76.943335360	302.8		
T	-12.016678938	-76.943591722	302.1		
T	-12.016589651	-76.943784801	301.3		
T	-12.016496803	-76.943945871	300.7		
T	-12.016501675	-76.944073018	300.3		
T	-12.016540522	-76.944199562	299.9		
T	-12.016685220	-76.944450990	299.0		
T	-12.016790859	-76.944607245	298.7		
T	-12.016762364	-76.944703602	298.3		
T	-12.016607487	-76.944931260	297.1		
T	-12.016549868	-76.945124464	296.8		
T	-12.016566045	-76.945411848	296.9		
T	-12.016576077	-76.945635019	297.0		
T	-12.016581034	-76.945730768	297.1		
T	-12.016554824	-76.945859707	297.1		
T	-12.016431465	-76.946024486	297.0		
T	-12.016337273	-76.946124185	297.1		
T	-12.016214563	-76.946321536	297.3		
T	-12.016184844	-76.946386938	297.4		
T	-12.016193208	-76.946578975	297.3		
T	-12.016099410	-76.946743306	297.7		
T	-12.016072450	-76.946872993	297.6		
T	-12.016047016	-76.947034822	297.5		
T	-12.016054728	-76.947195177	297.3		
T	-12.016062436	-76.947355550	297.2		
T	-12.016068742	-76.947483849	297.0		
T	-12.016010180	-76.947647593	296.7		
T	-12.015981367	-76.947745627	296.6		
T	-12.015953602	-76.947875720	296.4		
T	-12.015960538	-76.948036377	296.2		
T	-12.015902269	-76.948232876	296.0		
T	-12.015876532	-76.948395451	295.6		
T	-12.015885848	-76.948588400	294.7		
T	-12.015895165	-76.948781375	293.8		
T	-12.015902929	-76.948942207	293.1		
T	-12.015910696	-76.949103053	292.4		
T	-12.015918461	-76.949263918	292.3		
T	-12.015823137	-76.949366703	292.5		
T	-12.015700091	-76.949568294	293.5		
T	-12.015708011	-76.949696971	293.6		
T	-12.015549681	-76.949901502	294.3		
T	-12.015490355	-76.950067409	294.3		
T	-12.015498280	-76.950228853	294.1		
T	-12.015469386	-76.950328069	294.0		
T	-12.015376269	-76.950496732	294.0		
T	-12.015246616	-76.950635985	294.3		
T	-12.015257634	-76.950829794	294.1		
T	-12.015271393	-76.950990229	297.7		
T	-12.015291260	-76.951116597	300.6		
T	-12.015300099	-76.951179921	302.1		
T	-12.015332486	-76.951400805	307.0		
T	-12.015342276	-76.951463659	308.4		
T	-12.015189099	-76.951728111	317.8		
T	-12.015146864	-76.951948573	330.4		
T	-12.015136757	-76.952165759	342.6		
T	-12.015297807	-76.952211609	342.6		
T	-12.015452780	-76.952266064	342.8		
T	-12.015584140	-76.952288063	341.7		
T	-12.015613905	-76.952440854	348.6		
T	-12.015507291	-76.952605918	357.4		
T	-12.015491813	-76.952700210	361.1		
T	-12.015538854	-76.952911051	367.5		
T	-12.015630702	-76.952993227	368.3		
T	-12.015725987	-76.953105961	369.9		
T	-12.015817731	-76.953316256	374.8		
T	-12.015857513	-76.953439704	375.4		
T	-12.015862805	-76.953502196	375.9		
T	-12.015837574	-76.953728370	379.1		
T	-12.015763302	-76.953856937	382.2		
T	-12.015711520	-76.954213311	385.2		
T	-12.015768661	-76.954372847	380.1		
T	-12.015793151	-76.954568324	374.7		
T	-12.015788295	-76.954700684	371.4		
T	-12.015688299	-76.954841484	369.9		
T	-12.015622331	-76.954913394	369.5		
T	-12.015472897	-76.955275600	360.9		
T	-12.015459058	-76.955348271	358.7		
T	-12.015427832	-76.955594807	351.2		
T	-12.015432095	-76.955724199	346.7		
T	-12.015389929	-76.955916520	345.8		
T	-12.015355650	-76.956202886	351.8		
T	-12.015371744	-76.956490911	356.2		
T	-12.015350850	-76.956619571	359.1		
T	-12.015423513	-76.956839836	358.7		
T	-12.015470032	-76.956894261	357.7		
T	-12.015521348	-76.957060762	357.7		
T	-12.015539185	-76.957115507	357.8		
T	-12.015539283	-76.957230541	359.1		
T	-12.015500669	-76.957483886	362.6		
T	-12.015514500	-76.957606462	361.4		
T	-12.015504922	-76.957777773	359.9		
T	-12.015500944	-76.957978522	358.0		
T	-12.015495022	-76.958081732	357.1		
T	-12.015495074	-76.958280264	355.1		
T	-12.015504825	-76.958405980	351.9		
T	-12.015509302	-76.958634848	344.3		
T	-12.015287046	-76.959117246	331.1		
T	-12.015237881	-76.959355412	322.0		
T	-12.015199274	-76.959553097	314.3		
T	-12.015176102	-76.959773924	305.5		
T	-12.015175246	-76.959842289	302.8		
T	-12.015177876	-76.959941817	298.7		
T	-12.015145864	-76.960216144	294.2		
T	-12.015117779	-76.960351946	292.9		
